id,title,abstract,content,s_content,t_content,img,lasttime,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
1718,冰心,282,6892,8,11,10,2018-10-16,19,11298008,1953,57190,835,2,5,114339,101,520243,5.84,77.52,4642.8,599331,24094.4,85.92,1
1719,曹操,518,20036,8,37,11,2018-09-29,113,24802042,3437,52299,1326,1,27,6772,489.32,513555,5.84,127.32,4979.88,592574,33629.6,80.6,1
1723,人参,194,20186,13,32,11,2018-08-30,12,7629661,821,5074,324,3,6,6226,0.6,412466,4.92,0.44,5106.76,466618,171802000,86.96,1
1729,盐酸,343,343,7,11,6,2018-09-05,37,2905036,125,4072,223,4,1,114516,19.96,511422,5.12,22.64,4615.28,590372,5224.8,83.28,1
1730,硫酸,328,9231,8,17,6,2018-07-30,4,3204290,167,5970,357,1,1,114535,0.44,169391,3.4,0.68,1430.96,195677,309.96,85.36,1
1732,木棉,194,4453,7,7,9,2018-06-05,10,2051273,1277,4019,110,4,7,1326,17.6,473418,6.48,16.28,7289,528782,343606000,86.2,1
1735,上海,627,20907,13,40,26,2018-09-13,91,33443986,4672,52348,2652,0,5,114606,29.72,171934,5.56,28.32,1468.88,198441,8059.52,89.28,1
1736,中国城,102,797,6,2,0,2018-08-16,22,1433667,40,603,23,1,11,17705120,75,191993,7.13043,75.6522,2950.39,220724,22871.2,89.3913,1
1737,昙花,398,4682,8,13,1,2018-08-13,5,4131088,522,9273,193,2,14,9779247,3099.24,185449,6.52,941.56,6793.16,212101,213703,91.56,1
1753,雷锋,370,7722,8,24,14,2018-09-21,22,21935175,5283,103302,968,5,9,5569,36.2,529606,8.32,35.28,8517.04,609052,28357.4,88.28,1
1758,刘德华,713,11124,7,15,30,2018-10-09,238,107018456,717,90847,2387,6,10,114923,9.04,511486,5.12,8.76,5266.76,590430,6154.84,86.44,1
1759,龙门石窟,347,13329,6,26,15,2018-10-01,21,5584974,641,6979,294,1,3,274,46,261198,7.12,31.44,5132.2,289524,171828000,90.88,1
1761,少林寺,365,11273,12,14,17,2018-10-08,46,7985245,22266,43485,467,2,16,7702,40.4,345725,5.92,36.72,3777.88,398493,21465.2,88.08,1
